휴게소명,고속도로,위도,경도,휴게소종류,운영시간,방향,주요편의시설,전화번호,데이터기준일,프랜차이즈매장
추풍령(서울),경부선,36.199708,128.003242,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
춘천(부산),중앙선,37.8126801,127.766078,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
춘향(순천),순천완주선,35.3367566,127.3515503,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,
춘향(완주),순천완주선,35.3376914,127.3537495,일반휴게소,00:00-23:59,완주방향,"식당, 편의점",문의 필요,2025-06-07,
충주(양평),중부내륙선,37.023175,127.839297,일반휴게소,00:00-23:59,양평방향,"식당, 편의점",문의 필요,2025-06-07,"드롭탑, 베스킨라빈스"
충주(창원),중부내륙선,37.022229,127.837071,일반휴게소,00:00-23:59,창원방향,"식당, 편의점",문의 필요,2025-06-07,"드롭탑, 베스킨라빈스"
화성(서울),서해안선,37.143497,126.881289,일반휴게소,00:00-23:59,서울방향,"수유실, 수면실, 샤워실, 농산물판매장, 쉼터",문의 필요,2025-06-07,
강릉(강릉),영동선,37.758206,128.806648,일반휴게소,00:00-23:59,강릉방향,"수유실, 수면실, 샤워실, 농산물판매장, 쉼터",문의 필요,2025-06-07,
강릉(인천),영동선,37.760275,128.8053601,일반휴게소,00:00-23:59,인천방향,"수유실, 수면실, 샤워실, 농산물판매장, 쉼터",문의 필요,2025-06-07,
강천산(광주),광주대구선,35.3657501,127.105451,일반휴게소,00:00-23:59,광주방향,"식당, 편의점",문의 필요,2025-06-07,
강천산(대구),광주대구선,35.364369,127.104757,간이휴게소,00:00-23:59,대구방향,기본 시설만,문의 필요,2025-06-07,
거창(광주),광주대구선,35.708862,128.057962,일반휴게소,00:00-23:59,광주방향,"식당, 편의점",문의 필요,2025-06-07,
거창(대구),광주대구선,35.706469,128.056945,일반휴게소,00:00-23:59,대구방향,"식당, 편의점",문의 필요,2025-06-07,
건천(부산),경부선,35.830716,129.1093101,간이휴게소,00:00-23:59,부산방향,기본 시설만,문의 필요,2025-06-07,
건천(서울),경부선,35.831894,129.109244,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
경산(서울),경부선,35.879323,128.810331,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
논공(대구),광주대구선,35.764989,128.402909,일반휴게소,00:00-23:59,대구방향,"식당, 편의점",문의 필요,2025-06-07,
단양팔경(부산),중앙선,36.995459,128.287616,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
단양팔경(춘천),중앙선,36.942903,128.322142,일반휴게소,00:00-23:59,춘천방향,"식당, 편의점",문의 필요,2025-06-07,
대천(목포),서해안선,36.372995,126.555684,일반휴게소,00:00-23:59,목포방향,"식당, 편의점",문의 필요,2025-06-07,
대천(서울),서해안선,36.374457,126.558327,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
덕유산(대전),대전통영선,35.816481,127.646149,일반휴게소,00:00-23:59,대전방향,"식당, 편의점",문의 필요,2025-06-07,
덕유산(통영),대전통영선,35.813428,127.643173,일반휴게소,00:00-23:59,통영방향,"식당, 편의점",문의 필요,2025-06-07,
덕평,영동선,37.241456,127.390189,일반휴게소,00:00-23:59,양방향,"수유실, 농산물판매장, 쉼터, 던킨도너츠 외 브랜드매장, 반려견놀이터",031-645-0001,2025-06-07,"던킨도너츠, 파리바게트"
동명(부산),중앙선,36.0069901,128.546504,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
동명(춘천),중앙선,36.006426,128.5493901,일반휴게소,00:00-23:59,춘천방향,"식당, 편의점",문의 필요,2025-06-07,
안성(부산),경부선,37.013407,127.1448001,일반휴게소,00:00-23:59,부산방향,"수유실, 샤워실, 세탁실, 쉼터, 드롭탑 외 브랜드매장",031-655-0531,2025-06-07,"던킨도너츠 , 나뚜르"
안성(서울),경부선,37.076681,127.132496,일반휴게소,00:00-23:59,서울방향,"수유실, 수면실, 샤워실, 세탁실, 농산물판매장, 병원, 쉼터, 전기차충전소",031-611-5793,2025-06-07,"던킨도너츠 , 나뚜르 , 할리스커피"
죽전(서울),경부선,37.332371,127.104795,일반휴게소,00:00-23:59,서울방향,"수유실, 농산물판매장, 파스쿠찌, 세차장",031-262-3168,2025-06-07,"뚜레쥬르 , 탐앤탐스"
망향(부산),경부선,36.8556501,127.180929,일반휴게소,00:00-23:59,부산방향,"수유실, 수면실, 샤워실, 세탁실, 농산물판매장, 쉼터",문의 필요,2025-06-07,"도미노피자 , 카페베네"
천안호두(부산),경부선,36.730226,127.263879,일반휴게소,00:00-23:59,부산방향,"수유실, 수면실, 샤워실, 농산물판매장, 쉼터",문의 필요,2025-06-07,
행담도,서해안선,36.944819,126.807525,일반휴게소,00:00-23:59,양방향,"수유실, 농산물판매장, 쉼터, 탐앤탐스 외 브랜드매장, 양방향 통합휴게소",041-358-0700,2025-06-07,
죽암(부산),경부선,36.4868101,127.429261,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
죽암(서울),경부선,36.496775,127.4306501,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
천안삼거리(서울),경부선,36.787809,127.173455,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
통도사(부산),경부선,35.488841,129.090775,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
평사(부산),경부선,35.885522,128.867541,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
칠곡(부산),경부선,36.019795,128.428517,화물차휴게소,00:00-23:59,부산방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,
칠곡(서울),경부선,36.012005,128.4308001,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
김천(부산),경부선,36.129252,128.164782,화물차휴게소,00:00-23:59,부산방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,"SPC그룹: 파리바게뜨, 배스킨라빈스, 던킨도너츠, 파스쿠치, 빚은, 사누끼보레"
김천(서울),경부선,36.131107,128.164009,화물차휴게소,00:00-23:59,서울방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,"SPC그룹: 파리바게뜨, 배스킨라빈스, 던킨도너츠, 파스쿠치, 빚은, 사누끼보레"
경주(부산),경부선,35.724761,129.1929501,화물차휴게소,00:00-23:59,부산방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,
언양(서울),경부선,35.597942,129.141801,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,던킨도너츠
양산(서울),경부선,35.323172,129.056867,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
금강(부산),경부선,36.279148,127.672231,일반휴게소,00:00-23:59,부산방향,"식당, 편의점",문의 필요,2025-06-07,
화성(목포),서해안선,37.143612,126.8790801,일반휴게소,00:00-23:59,목포방향,"수유실, 수면실, 샤워실, 농산물판매장, 쉼터",문의 필요,2025-06-07,
홍성(목포),서해안선,36.552584,126.579514,일반휴게소,00:00-23:59,목포방향,"식당, 편의점",문의 필요,2025-06-07,
홍성(서울),서해안선,36.5524301,126.5818701,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
함평천지(목포),서해안선,35.069687,126.478247,일반휴게소,00:00-23:59,목포방향,"식당, 편의점",문의 필요,2025-06-07,
함평천지(서울),서해안선,35.130746,126.482295,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
고창고인돌(목포),서해안선,35.468653,126.673871,일반휴게소,00:00-23:59,목포방향,"식당, 편의점",문의 필요,2025-06-07,
고창고인돌(서울),서해안선,35.4620701,126.673477,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
부안고려청자(목포),서해안선,35.671628,126.732073,일반휴게소,00:00-23:59,목포방향,"식당, 편의점",문의 필요,2025-06-07,
부안고려청자(서울),서해안선,35.671598,126.734592,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
군산(목포),서해안선,35.980591,126.828971,일반휴게소,00:00-23:59,목포방향,"식당, 편의점",문의 필요,2025-06-07,
군산(서울),서해안선,36.018831,126.797698,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
여주(강릉),영동선,37.238022,127.568892,일반휴게소,00:00-23:59,강릉방향,"수유실, 수면실, 농산물판매장, 쉼터",문의 필요,2025-06-07,"할리스커피 , 베스킨라빈스 , 도미노피자 , 탐앤탐스"
여주(인천),영동선,37.239739,127.569949,일반휴게소,00:00-23:59,인천방향,"수유실, 수면실, 농산물판매장, 쉼터",문의 필요,2025-06-07,
평창(강릉),영동선,37.6055701,128.452681,일반휴게소,00:00-23:59,강릉방향,"식당, 편의점",문의 필요,2025-06-07,
평창(인천),영동선,37.610876,128.463363,일반휴게소,00:00-23:59,인천방향,"식당, 편의점",문의 필요,2025-06-07,
동해(삼척),동해선,37.601776,129.073636,일반휴게소,00:00-23:59,삼척방향,"식당, 편의점",문의 필요,2025-06-07,
옥계(속초),동해선,37.616198,129.060129,일반휴게소,00:00-23:59,속초방향,"식당, 편의점",문의 필요,2025-06-07,
구정(삼척),동해선,37.722214,128.8511601,일반휴게소,00:00-23:59,삼척방향,"식당, 편의점",문의 필요,2025-06-07,
구정(속초),동해선,37.723012,128.854228,일반휴게소,00:00-23:59,속초방향,"식당, 편의점",문의 필요,2025-06-07,
곡성(순천),호남선,35.258498,127.150737,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,
곡성(천안),호남선,35.259632,127.152741,일반휴게소,00:00-23:59,천안방향,"식당, 편의점",문의 필요,2025-06-07,"코바코, 일반 브랜드 매장"
주암(순천),호남선,35.076197,127.2641001,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,일반 브랜드 매장
주암(천안),호남선,35.076587,127.265762,일반휴게소,00:00-23:59,천안방향,"식당, 편의점",문의 필요,2025-06-07,일반 브랜드 매장
백양사(순천),호남선,35.394425,126.805361,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,일반 휴게소 브랜드 매장
백양사(천안),호남선,35.393018,126.807376,일반휴게소,00:00-23:59,천안방향,"식당, 편의점",문의 필요,2025-06-07,일반 휴게소 브랜드 매장
정읍녹두장군(순천),호남선,35.601465,126.862006,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,일반 휴게소 브랜드 매장
정읍녹두장군(천안),호남선,35.599975,126.864336,일반휴게소,00:00-23:59,천안방향,"식당, 편의점",문의 필요,2025-06-07,일반 휴게소 브랜드 매장
여산(순천),호남선,36.048555,127.102333,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,"드롭탑, SPC그룹 브랜드"
여산(천안),호남선,36.048528,127.104716,일반휴게소,00:00-23:59,천안방향,"식당, 편의점",문의 필요,2025-06-07,"드롭탑, SPC그룹 브랜드"
이서(순천),호남선,35.803936,127.023705,화물차휴게소,00:00-23:59,순천방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,드롭탑
이서(천안),호남선,35.801932,127.025759,화물차휴게소,00:00-23:59,천안방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,드롭탑
오창(남이),중부선,36.758481,127.481777,일반휴게소,00:00-23:59,남이방향,"식당, 편의점",문의 필요,2025-06-07,드롭탑
오창(하남),중부선,36.756581,127.481909,일반휴게소,00:00-23:59,하남방향,"식당, 편의점",문의 필요,2025-06-07,드롭탑
음성(남이),중부선,37.019638,127.480712,일반휴게소,00:00-23:59,남이방향,"식당, 편의점",문의 필요,2025-06-07,일반 브랜드 매장
음성(하남),중부선,37.022065,127.484315,일반휴게소,00:00-23:59,하남방향,"식당, 편의점",문의 필요,2025-06-07,일반 브랜드 매장
이천(남이),중부선,37.264574,127.403687,일반휴게소,00:00-23:59,남이방향,"식당, 편의점",문의 필요,2025-06-07,일반 브랜드 매장
이천(하남),중부선,37.293979,127.378203,일반휴게소,00:00-23:59,하남방향,"식당, 편의점",문의 필요,2025-06-07,일반 브랜드 매장
마장,중부선,37.263849,127.407043,일반휴게소,00:00-23:59,양방향,"식당, 편의점",문의 필요,2025-06-07,"스타벅스, 맥도날드, 파리바게트, 던킨도너츠, 배스킨라빈스, 롯데마트, 카페베네"
하남드림,중부선,37.530281,127.206084,일반휴게소,00:00-23:59,양방향,"수유실, 쉼터",031-791-4200,2025-06-07,"EX-CAFE(도로공사 자체브랜드), 탐앤탐스"
진안마이산(익산),익산장수선,35.777898,127.425279,일반휴게소,00:00-23:59,익산방향,"식당, 편의점",문의 필요,2025-06-07,"로띠번, 달콤커피, 코바코, 드롭탑"
진안마이산(장수),익산장수선,35.7748201,127.426362,일반휴게소,00:00-23:59,장수방향,"식당, 편의점",문의 필요,2025-06-07,
안산,영동선,37.351075,126.818799,일반휴게소,00:00-23:59,양방향,"식당, 편의점",문의 필요,2025-06-07,
시흥하늘,수도권제1순환선,37.383794,126.855452,일반휴게소,00:00-23:59,양방향,"식당, 편의점",문의 필요,2025-06-07,"던킨도너츠, 흑화당"
구리(일산),수도권제1순환선,37.628023,127.139237,일반휴게소,00:00-23:59,일산방향,"식당, 편의점",문의 필요,2025-06-07,
내린천,서울양양선,37.916535,128.286377,일반휴게소,00:00-23:59,양방향,"식당, 편의점",문의 필요,2025-06-07,
홍천(서울),서울양양선,37.758898,128.0065801,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,
홍천(양양),서울양양선,37.757369,128.003099,일반휴게소,00:00-23:59,양양방향,"식당, 편의점",문의 필요,2025-06-07,
함양(대전),대전통영선,35.551611,127.7604201,일반휴게소,00:00-23:59,대전방향,"식당, 편의점",문의 필요,2025-06-07,
함양(통영),대전통영선,35.551322,127.758563,일반휴게소,00:00-23:59,통영방향,"식당, 편의점",문의 필요,2025-06-07,
